,graph_id,num_nodes,label
0,AT40412,44,0
1,AT40511,28,0
2,AT61759,39,0
3,AT60617,19,0
4,AT61443,25,0
5,AT20901,77,0
6,AT10827,17,0
7,AT62368,31,0
8,AT30514,47,0
9,AT30620,31,0
10,AT62326,35,0
11,AT60341,21,0
12,AT70940,7,0
13,AT70837,24,0
14,AT50610,43,0
15,AT40610,34,0
16,AT70309,16,0
17,AT31609,23,0
18,AT32501,72,0
19,AT70305,7,0
20,AT50204,51,0
21,AT40919,25,0
22,AT40720,56,0
23,AT80224,22,0
24,AT70704,25,0
25,AT50310,34,0
26,AT62014,33,0
27,AT30925,53,0
28,AT80121,19,0
29,AT70201,29,0
30,AT31336,39,0
31,AT70923,11,0
32,AT41402,46,0
33,AT32011,56,0
34,AT62242,21,0
35,AT62026,26,0
36,AT30730,24,0
37,AT31814,46,0
38,AT70510,22,0
39,AT80410,23,0
40,AT31603,26,0
41,AT10913,17,0
42,AT50612,62,0
43,AT40801,17,0
44,AT80111,36,0
45,AT40811,21,0
46,AT70348,111,0
47,AT40627,48,0
48,AT10931,8,0
49,AT31522,20,0
50,AT31919,27,0
51,AT31703,26,0
52,AT41802,17,0
53,AT61016,31,0
54,AT80115,19,0
55,AT41307,21,0
56,AT41822,12,0
57,AT32142,29,0
58,AT31205,21,0
59,AT62202,31,0
60,AT31630,25,0
61,AT80239,20,0
62,AT20505,70,0
63,AT61215,76,0
64,AT31025,10,0
65,AT41022,33,0
66,AT31333,29,0
67,AT31542,25,0
68,AT41317,32,0
69,AT61729,21,0
70,AT62382,52,0
71,AT41729,12,0
72,AT70365,22,0
73,AT70716,25,0
74,AT70936,172,0
75,AT30401,69,0
76,AT70332,11,0
77,AT31946,19,0
78,AT70720,22,0
79,AT61043,23,0
80,AT61247,32,0
81,AT70354,16,0
82,AT41720,16,0
83,AT41407,18,0
84,AT80225,15,0
85,AT41607,15,0
86,AT70207,14,0
87,AT20603,45,0
88,AT40826,12,0
89,AT30812,11,0
90,AT31343,33,0
91,AT60347,49,0
92,AT60324,28,0
93,AT31503,42,0
94,AT31033,21,0
95,AT20320,33,0
96,AT61027,21,0
97,AT61013,33,0
98,AT20719,44,0
99,AT30915,18,0
100,AT30814,23,0
101,AT50505,48,0
102,AT31119,19,0
103,AT70619,18,0
104,AT50208,13,0
105,AT31102,20,0
106,AT10511,20,0
107,AT70921,24,0
108,AT30631,23,0
109,AT41104,30,0
110,AT20713,39,0
111,AT80116,94,0
112,AT70312,19,0
113,AT30805,23,0
114,AT50621,23,0
115,AT50211,32,0
116,AT31829,68,0
117,AT80422,16,0
118,AT32322,48,0
119,AT40713,30,0
120,AT50501,18,0
121,AT41222,21,0
122,AT20810,30,0
123,AT40603,40,0
124,AT62387,36,0
125,AT60326,27,0
126,AT61612,31,0
127,AT60611,14,0
128,AT80227,38,0
129,AT40428,33,0
130,AT31019,36,0
131,AT10302,14,0
132,AT70601,8,0
133,AT60305,26,0
134,AT32321,34,0
135,AT60323,12,0
136,AT41703,28,0
137,AT41208,16,0
138,AT31113,11,0
139,AT41123,25,0
140,AT31508,22,0
141,AT61110,18,0
142,AT30729,18,0
143,AT31804,11,0
144,AT62271,43,0
145,AT41304,38,0
146,AT31954,20,0
147,AT70317,27,0
148,AT70337,17,0
149,AT41116,34,0
150,AT40818,10,0
151,AT41230,16,0
152,AT32517,22,0
153,AT41503,13,0
154,AT50210,25,0
155,AT50616,32,0
156,AT61716,32,0
157,AT80401,16,0
158,AT31915,10,0
159,AT10910,20,0
160,AT20806,34,0
161,AT20424,13,0
162,AT70419,28,0
163,AT30503,50,0
164,AT31350,38,0
165,AT62138,23,0
166,AT10803,18,0
167,AT50401,41,0
168,AT31821,30,0
169,AT50202,30,0
170,AT20620,51,0
171,AT31922,14,0
172,AT50331,15,0
173,AT61630,50,0
174,AT61626,44,0
175,AT40914,107,0
176,AT40824,47,0
177,AT70329,12,0
178,AT31717,20,0
179,AT61056,44,0
180,AT30726,15,0
181,AT41338,59,0
182,AT20432,28,0
183,AT20723,62,0
